Duration,Area,Front Patterns,DeltaD50-1,DeltaD50-2,DeltaD50-3,DeltaD50-4,DeltaD50-5
720,100,"2,5,10",0.12222999999999999,0.14447000000000002,0.16671,0.18894,0.21118
720,200,"6,2,7",0.1204,0.14081,0.16121000000000002,0.18161,0.20200999999999997
720,500,"1,6,7",0.11598,0.13197,0.14796,0.16396,0.17995
720,1000,"10,5,9",0.11912,0.13824,0.15737,0.17648999999999998,0.19562
720,2500,"4,8,9",0.13825,0.17648,0.21471,0.25294,0.29118
720,5000,"1,7,2",0.11752,0.13504,0.15256,0.17008,0.1876
720,10000,"7,2,3",0.12076,0.14152,0.16228,0.18304,0.20379999999999998
720,20000,"7,8,5",0.1237,0.1474,0.1711,0.19479,0.21849
720,40000,"4,10,2",0.13102,0.16204000000000002,0.19306,0.22408,0.2551
1080,100,"5,6,3",0.11932000000000001,0.13863,0.15794,0.17726,0.19657
1080,200,"8,10,4",0.12165999999999999,0.14332,0.16498,0.18663000000000002,0.20829
1080,500,"8,6,3",0.12090000000000001,0.14179999999999998,0.1627,0.1836,0.2045
1080,1000,"5,10,7",0.11704,0.13408,0.15112,0.16816,0.18519000000000002
1080,2500,"1,7,2",0.11748,0.13496,0.15244,0.16991,0.18739
1080,5000,"2,3,9",0.12196,0.14393,0.1659,0.18787,0.20983000000000002
1080,10000,"5,10,6",0.12248,0.14497,0.16745000000000002,0.18994,0.21242999999999998
1080,20000,"8,7,10",0.13251,0.16501,0.19751000000000002,0.23001,0.26251
1080,40000,"7,5,4",0.13345,0.1669,0.20034000000000002,0.23379,0.26722999999999997
1440,100,"7,4,2",0.11385,0.12769,0.14154,0.15539,0.16924
1440,200,"10,1,3",0.11873,0.13746,0.15619,0.17492000000000002,0.19363999999999998
1440,500,"6,1,5",0.11617999999999999,0.13237000000000002,0.14855000000000002,0.16473,0.18092
1440,1000,"9,10,5",0.12065999999999999,0.14131,0.16196,0.18261,0.20325000000000001
1440,2500,"1,6,7",0.12396,0.14792,0.17188,0.19584,0.2198
1440,5000,"10,3,5",0.13018000000000002,0.16035,0.19052,0.22069,0.25085999999999997
1440,10000,"10,5,8",0.13222,0.16446,0.19669,0.22892,0.26115
1440,20000,"8,10,7",0.12652000000000002,0.15304,0.17957,0.20609000000000002,0.23262
1440,40000,"6,4,8",0.12016,0.14031,0.16046,0.18061,0.20074999999999998
2160,100,"8,3,2",0.10998000000000001,0.11995,0.12993,0.13991,0.14989
2160,200,"2,1,3",0.11759,0.13519,0.15279,0.17038999999999999,0.18799
2160,500,"7,1,8",0.11571000000000001,0.13141,0.14712,0.16282000000000002,0.17853000000000002
2160,1000,"7,8,5",0.11454,0.12908,0.14362999999999998,0.15817,0.17271
2160,2500,"5,1,8",0.12079999999999999,0.1416,0.16238999999999998,0.18319000000000002,0.20398999999999998
2160,5000,"6,5,3",0.12234,0.14467000000000002,0.16699999999999998,0.18934,0.21166999999999997
2160,10000,"8,1,7",0.12199,0.14398,0.16597,0.18796,0.20995
2160,20000,"10,7,5",0.11950000000000001,0.13899999999999998,0.15849,0.17799,0.19749
2160,40000,"7,4,9",0.1256,0.15121,0.17681,0.20242,0.22801999999999997
2880,100,"10,3,2",0.11418999999999999,0.12838,0.14257,0.15676,0.17095
2880,200,"8,2,9",0.11774,0.13548,0.15322,0.17096,0.18869
2880,500,"9,4,5",0.1186,0.13720000000000002,0.15579,0.17439,0.19299
2880,1000,"10,6,3",0.11313,0.12625999999999998,0.13939,0.15250999999999998,0.16564
2880,2500,"10,5,6",0.11845000000000001,0.13689,0.15533999999999998,0.17379,0.19224000000000002
2880,5000,"6,4,5",0.11446,0.12891999999999998,0.14338,0.15785,0.17231000000000002
2880,10000,"7,6,5",0.12499,0.14997,0.17494,0.19992000000000001,0.22490000000000002
2880,20000,"5,6,1",0.11888000000000001,0.13776,0.15665,0.17554,0.19443
2880,40000,"10,5,1",0.11377999999999999,0.12757000000000002,0.14135999999999999,0.15514,0.16893
4320,100,"10,5,1",0.11616,0.13232,0.14849,0.16465000000000002,0.18081
4320,200,"9,3,6",0.11269,0.12539,0.13808,0.15078,0.16347
4320,500,"4,3,9",0.11220000000000001,0.1244,0.1366,0.1488,0.161
4320,1000,"9,2,8",0.11408,0.12816,0.14224,0.15632,0.17041
4320,2500,"3,2,9",0.11406000000000001,0.12811999999999998,0.14218,0.15624,0.1703
4320,5000,"3,6,4",0.1111,0.12219,0.13328,0.14438,0.15547
4320,10000,"4,6,2",0.11874,0.13749,0.15624,0.17499,0.19375
4320,20000,"3,10,2",0.13243,0.16484000000000001,0.19726,0.22966999999999999,0.26208
4320,40000,"3,10,8",0.1119,0.1238,0.1357,0.1476,0.1595
5760,100,"2,10,1",0.1167,0.13341,0.15011000000000002,0.16682,0.18352
5760,200,"8,9,4",0.1132,0.1264,0.13960999999999998,0.15281,0.16601
5760,500,"10,6,4",0.11660999999999999,0.13321,0.14982,0.16641999999999998,0.18302000000000002
5760,1000,"7,1,6",0.11346,0.12693000000000002,0.14039,0.15385,0.16731000000000001
5760,2500,"10,1,5",0.1117,0.12340999999999999,0.13512,0.14683,0.15853
5760,5000,"3,4,10",0.11733,0.13465,0.15198,0.16931000000000002,0.18664
5760,10000,"9,3,4",0.11843999999999999,0.13687,0.1553,0.17373,0.19217
5760,20000,"3,5,10",0.12804,0.1561,0.18414999999999998,0.21221,0.24026999999999998
5760,40000,"3,5,4",0.11617,0.13233,0.14850000000000002,0.16466,0.18083
7200,100,"8,7,2",0.1123,0.1246,0.1369,0.1492,0.1615
7200,200,"2,9,8",0.11152999999999999,0.12305999999999999,0.1346,0.14613,0.15767
7200,500,"3,8,2",0.11478999999999999,0.12959,0.14439,0.15918000000000002,0.17398
7200,1000,"10,2,6",0.11201000000000001,0.12401999999999999,0.13604,0.14805,0.16006
7200,2500,"3,2,5",0.11079000000000001,0.12158,0.13237000000000002,0.14315,0.15394000000000002
7200,5000,"8,3,10",0.11635,0.13271,0.14906,0.16541,0.18176
7200,10000,"10,4,2",0.11218999999999998,0.12438,0.13657,0.14876,0.16096
7200,20000,"4,3,9",0.11647,0.13294,0.14941,0.16588,0.18234999999999998
7200,40000,"2,8,5",0.11513999999999999,0.13028,0.14542,0.16055999999999998,0.1757
