Duration,AEP,Front Patterns,DeltaD50-1,DeltaD50-2,DeltaD50-3,DeltaD50-4,DeltaD50-5
60,frequent,"3,1,2",0.11771000000000001,0.13542,0.15311999999999998,0.17082999999999998,0.18853
60,intermediate,"4,3,2",0.11927000000000001,0.13855,0.15783,0.17711,0.19639
60,rare,"4,7,8",0.12349000000000002,0.14699,0.17049,0.19399,0.21749000000000002
90,frequent,"3,2,1",0.11679999999999999,0.1336,0.1504,0.16721,0.18401
90,intermediate,"4,5,2",0.11944999999999999,0.1389,0.15836,0.17781,0.19726
90,rare,"4,3,5",0.12275,0.14550000000000002,0.16824,0.19097999999999998,0.21373000000000003
120,frequent,"1,2,3",0.11551,0.131,0.14650000000000002,0.162,0.1775
120,intermediate,"4,5,3",0.11478999999999999,0.12957000000000002,0.14435,0.15913,0.17391
120,rare,"5,3,4",0.12432000000000001,0.14862999999999998,0.17295,0.19727,0.22159
180,frequent,"2,3,1",0.11291999999999999,0.12584,0.13876,0.15167999999999998,0.1646
180,intermediate,"1,3,2",0.11191999999999999,0.12383999999999999,0.13576,0.14767999999999998,0.15960000000000002
180,rare,"2,5,4",0.12713000000000002,0.15427,0.1814,0.20854,0.23567
270,frequent,"1,3,2",0.11234999999999999,0.1247,0.13705,0.1494,0.16175
270,intermediate,"3,4,2",0.11273,0.12546,0.13818,0.15091000000000002,0.16364
270,rare,"5,6,7",0.11563000000000001,0.13126,0.14689000000000002,0.16251,0.17814000000000002
360,frequent,"4,3,2",0.12049000000000001,0.14098,0.16147,0.18195,0.20244
360,intermediate,"3,2,1",0.11352,0.12704,0.14055,0.15406999999999998,0.16759
360,rare,"8,1,9",0.1103,0.1206,0.1309,0.1412,0.1515
540,frequent,"3,2,4",0.11186,0.12373,0.13559000000000002,0.14745,0.15932
540,intermediate,"5,7,6",0.11512,0.13023,0.14534,0.16046,0.17557
540,rare,"5,6,7",0.11469,0.12938,0.14407,0.15875999999999998,0.17343999999999998
720,frequent,"3,1,2",0.11091999999999999,0.12183999999999999,0.13276,0.14368,0.15460000000000002
720,intermediate,"3,2,4",0.11734,0.13467,0.15201,0.16934,0.18667
720,rare,"5,8,9",0.10859,0.11718999999999999,0.12579,0.13438,0.14298
1080,frequent,"3,2,1",0.11046,0.12092,0.13137000000000001,0.14182999999999998,0.15228999999999998
1080,intermediate,"5,6,2",0.11195,0.12390000000000001,0.13585,0.1478,0.15975
1080,rare,"5,3,4",0.11496999999999999,0.12993,0.14489000000000002,0.15985,0.17481
1440,frequent,"4,3,2",0.11016,0.12032000000000001,0.13047999999999998,0.14064000000000002,0.1508
1440,intermediate,"1,7,3",0.11161000000000001,0.12321,0.13481,0.14642,0.15802
1440,rare,"4,7,5",0.12082,0.14162999999999998,0.16244,0.18325,0.20406
2160,frequent,"2,3,1",0.11154,0.12309,0.13464,0.14618,0.15772999999999998
2160,intermediate,"6,7,4",0.1149,0.1298,0.1447,0.15960000000000002,0.17450000000000002
2160,rare,"5,8,10",0.11886000000000001,0.13771,0.15656,0.17542,0.19427
2880,frequent,"3,2,4",0.11399,0.12799,0.14198,0.15598,0.16997
2880,intermediate,"1,6,8",0.11317999999999999,0.12636,0.13954,0.15270999999999998,0.16589
2880,rare,"10,2,7",0.11316,0.12632000000000002,0.13948,0.15263,0.16579
4320,frequent,"5,3,4",0.11293,0.12586,0.13879,0.15172000000000002,0.16465000000000002
4320,intermediate,"7,2,8",0.11739,0.13478,0.15216000000000002,0.16955,0.18694
4320,rare,"4,6,2",0.11672,0.13344,0.15016000000000002,0.16687000000000002,0.18359
5760,frequent,"3,1,2",0.11789000000000001,0.1358,0.1537,0.1716,0.1895
5760,intermediate,"4,7,3",0.11205000000000001,0.12411000000000001,0.13616999999999999,0.14822,0.16028
5760,rare,"2,3,10",0.11814,0.13628,0.15442,0.17257,0.19071
7200,frequent,"6,2,5",0.11201000000000001,0.12401,0.13601000000000002,0.14801,0.16001
7200,intermediate,"1,2,7",0.11282,0.12564,0.13846,0.15128,0.1641
7200,rare,"3,7,5",0.11535999999999999,0.13072999999999999,0.1461,0.16146,0.17683
