Duration,Front Patterns,DeltaD50-1,DeltaD50-2,DeltaD50-3,DeltaD50-4,DeltaD50-5
120,"6,8,10",0.12395,0.14495,0.16595,0.18695,0.20795
180,"3,4,2",0.11877,0.13977,0.16077,0.18177,0.20277
360,"1,7,9",0.11903,0.14003,0.16103,0.18203,0.20303
540,"6,1,3",0.1238,0.1448,0.1658,0.1868,0.2078
720,"5,10,8",0.12247,0.14347,0.16447,0.18547,0.20647
1080,"3,2,8",0.12269,0.14369,0.16469,0.18569,0.20669
1440,"5,2,1",0.1164,0.1374,0.1584,0.1794,0.2004
2160,"7,4,9",0.11997,0.14097,0.16197,0.18297,0.20397
2880,"4,10,1",0.11661,0.13761,0.15861,0.17961,0.20061
4320,"7,8,6",0.12054,0.14154,0.16254,0.18354,0.20454
