Duration,Area,Front Patterns,DeltaD50-1,DeltaD50-2,DeltaD50-3,DeltaD50-4,DeltaD50-5
120,1000,"3,6,7",0.12238,0.14338,0.16438,0.18538,0.20638
180,1000,"2,6,4",0.11781,0.13881,0.15981,0.18081,0.20181
360,1000,"9,10,4",0.11942,0.14042,0.16142,0.18242,0.20342
540,1000,"4,9,2",0.1191,0.1401,0.1611,0.1821,0.2031
720,1000,"10,5,9",0.12043,0.14143,0.16243,0.18343,0.20443
1080,1000,"4,10,7",0.11955,0.14055,0.16155,0.18255,0.20355
1440,1000,"6,9,3",0.12202,0.14302,0.16402,0.18502,0.20602
2160,1000,"8,10,9",0.1223,0.1433,0.1643,0.1853,0.2063
2880,1000,"4,9,7",0.11748,0.13848,0.15948,0.18048,0.20148
4320,1000,"9,7,10",0.11862,0.13962,0.16062,0.18162,0.20262
