Duration,AEP,Front Patterns,DeltaD50-1,DeltaD50-2,DeltaD50-3,DeltaD50-4,DeltaD50-5
120,frequent,"4,3,10",0.11711,0.13811,0.15911,0.18011,0.20111
120,intermediate,"8,10,3",0.12141,0.14241,0.16341,0.18441,0.20541
120,rare,"7,8,6",0.1186,0.1396,0.1606,0.1816,0.2026
180,frequent,"2,3,9",0.11725,0.13825,0.15925,0.18025,0.20125
180,intermediate,"3,7,5",0.12227,0.14327,0.16427,0.18527,0.20627
180,rare,"5,2,9",0.11902,0.14002,0.16102,0.18202,0.20302
360,frequent,"9,6,2",0.11961,0.14061,0.16161,0.18261,0.20361
360,intermediate,"10,4,1",0.11824,0.13924,0.16024,0.18124,0.20224
360,rare,"9,8,6",0.11634,0.13734,0.15834,0.17934,0.20034
540,frequent,"6,1,2",0.11865,0.13965,0.16065,0.18165,0.20265
540,intermediate,"2,8,5",0.11737,0.13837,0.15937,0.18037,0.20137
540,rare,"10,7,9",0.11788,0.13888,0.15988,0.18088,0.20188
720,frequent,"10,4,1",0.12073,0.14173,0.16273,0.18373,0.20473
720,intermediate,"10,4,7",0.12083,0.14183,0.16283,0.18383,0.20483
720,rare,"6,5,1",0.11949,0.14049,0.16149,0.18249,0.20349
1080,frequent,"2,6,10",0.11946,0.14046,0.16146,0.18246,0.20346
1080,intermediate,"10,6,5",0.12021,0.14121,0.16221,0.18321,0.20421
1080,rare,"9,3,4",0.12301,0.14401,0.16501,0.18601,0.20701
1440,frequent,"4,3,5",0.12317,0.14417,0.16517,0.18617,0.20717
1440,intermediate,"6,1,3",0.12279,0.14379,0.16479,0.18579,0.20679
1440,rare,"2,3,6",0.1195,0.1405,0.1615,0.1825,0.2035
2160,frequent,"8,3,4",0.11704,0.13804,0.15904,0.18004,0.20104
2160,intermediate,"5,10,8",0.12111,0.14211,0.16311,0.18411,0.20511
2160,rare,"7,8,6",0.12241,0.14341,0.16441,0.18541,0.20641
2880,frequent,"6,5,9",0.12127,0.14227,0.16327,0.18427,0.20527
2880,intermediate,"5,3,7",0.11881,0.13981,0.16081,0.18181,0.20281
2880,rare,"4,9,1",0.12162,0.14262,0.16362,0.18462,0.20562
4320,frequent,"8,7,2",0.11851,0.13951,0.16051,0.18151,0.20251
4320,intermediate,"9,4,3",0.12367,0.14467,0.16567,0.18667,0.20767
4320,rare,"8,3,4",0.12374,0.14474,0.16574,0.18674,0.20774
