Duration,Front Patterns,DeltaD50-1,DeltaD50-2,DeltaD50-3,DeltaD50-4,DeltaD50-5
60,"10,5,2",0.1212,0.1424,0.1636,0.18480000000000002,0.20600000000000002
90,"10,5,2",0.12069,0.14138,0.16207,0.18275999999999998,0.20345
120,"10,5,6",0.12061,0.14123000000000002,0.16185,0.18246,0.20308
180,"10,5,2",0.1212,0.1424,0.1636,0.18480000000000002,0.20600000000000002
270,"10,5,2",0.12069,0.14138,0.16207,0.18275999999999998,0.20345
360,"10,5,6",0.12061,0.14123000000000002,0.16185,0.18246,0.20308
540,"10,5,2",0.12069,0.14138,0.16207,0.18275999999999998,0.20345
720,"10,5,2",0.1212,0.1424,0.1636,0.18480000000000002,0.20600000000000002
1080,"10,5,2",0.12131,0.14261,0.16392,0.18522,0.20651999999999998
1440,"10,5,2",0.1212,0.1424,0.1636,0.18480000000000002,0.20600000000000002
2160,"5,9,1",0.11831,0.13662000000000002,0.15492,0.17323,0.19154
2880,"5,3,2",0.13489,0.16978,0.20466,0.23955,0.27444
4320,"5,10,1",0.11639999999999999,0.13279000000000002,0.14918,0.16557,0.18196
5760,"10,5,8",0.12139,0.14279,0.16419,0.18559,0.20699
7200,"10,4,2",0.12673,0.15348,0.18022,0.20697000000000002,0.23371
