Duration,Area,Front Patterns,DeltaD50-1,DeltaD50-2,DeltaD50-3,DeltaD50-4,DeltaD50-5
360,100,"10,5,6",0.12061,0.14123000000000002,0.16185,0.18246,0.20308
540,100,"6,5,9",0.13066,0.16132,0.19197,0.22261999999999998,0.25328
720,100,"6,5,9",0.13075,0.16148,0.19221,0.22294,0.25367
1080,100,"6,5,9",0.1303,0.16060000000000002,0.19090000000000001,0.22119,0.25149
1440,100,"6,5,9",0.13069,0.16136999999999999,0.19206,0.22275,0.25343
2160,100,"5,8,3",0.11917,0.13835,0.15753,0.17670999999999998,0.19589
2880,100,"5,2,3",0.12757000000000002,0.15511999999999998,0.18267,0.21022,0.23778000000000002
4320,100,"10,4,7",0.12635000000000002,0.15267999999999998,0.17902,0.20536,0.23170000000000002
5760,100,"10,5,9",0.12194,0.14387,0.1658,0.18774,0.20966999999999997
7200,100,"10,8,9",0.12945,0.15891,0.18836,0.21781999999999999,0.24727000000000002
360,500,"10,5,6",0.12061,0.14123000000000002,0.16185,0.18246,0.20308
540,500,"6,8,4",0.12525,0.15048999999999998,0.17574,0.20099,0.22624
720,500,"6,8,4",0.1253,0.15061,0.17592000000000002,0.20123000000000002,0.22654000000000002
1080,500,"6,8,4",0.12501,0.15002,0.17503,0.20005,0.22505999999999998
1440,500,"6,8,4",0.12525,0.15052000000000001,0.17579,0.20105,0.22632
2160,500,"5,9,1",0.11831,0.13662000000000002,0.15492,0.17323,0.19154
2880,500,"5,3,2",0.13489,0.16978,0.20466,0.23955,0.27444
4320,500,"5,10,1",0.11639999999999999,0.13279000000000002,0.14918,0.16557,0.18196
5760,500,"10,5,8",0.12139,0.14279,0.16419,0.18559,0.20699
7200,500,"10,4,2",0.12673,0.15348,0.18022,0.20697000000000002,0.23371
360,1000,"10,5,6",0.12061,0.14123000000000002,0.16185,0.18246,0.20308
540,1000,"6,4,8",0.12661,0.15323,0.17985,0.20647000000000001,0.23309000000000002
720,1000,"6,4,8",0.12701,0.15402,0.18102000000000001,0.20803,0.23504
1080,1000,"6,4,8",0.12655,0.15309,0.17963,0.20617000000000002,0.23271000000000003
1440,1000,"6,4,8",0.12681,0.15362,0.18044,0.20726,0.23408
2160,1000,"4,1,8",0.12027000000000002,0.14053,0.1608,0.18106,0.20133
2880,1000,"5,3,10",0.13196000000000002,0.16393,0.19591,0.22788,0.25985
4320,1000,"6,10,2",0.11737,0.13474999999999998,0.15212,0.16949,0.18687
5760,1000,"10,5,8",0.11757,0.13515,0.15273,0.17031000000000002,0.18789
7200,1000,"10,4,2",0.1254,0.15078,0.17617,0.20156000000000002,0.22694999999999999
360,2500,"10,5,6",0.12061,0.14123000000000002,0.16185,0.18246,0.20308
540,2500,"6,7,4",0.12425,0.14850000000000002,0.17275000000000001,0.19699,0.22124000000000002
720,2500,"6,7,4",0.12448,0.14896,0.17343999999999998,0.19791,0.22239
1080,2500,"6,7,4",0.12456,0.14911000000000002,0.17365999999999998,0.1982,0.22275
1440,2500,"6,7,4",0.12421,0.1484,0.1726,0.19679,0.22099000000000002
2160,2500,"4,8,1",0.12048,0.14096,0.16144,0.18192,0.2024
2880,2500,"7,2,4",0.12498000000000001,0.14996,0.17495,0.19994,0.22493
4320,2500,"10,6,2",0.11952,0.13903000000000001,0.15854,0.17804999999999999,0.19756
5760,2500,"10,5,8",0.11750000000000001,0.135,0.15249,0.16999,0.18749
7200,2500,"8,10,4",0.11973,0.13946,0.15919,0.17890999999999999,0.19863999999999998
360,5000,"10,5,6",0.12061,0.14123000000000002,0.16185,0.18246,0.20308
540,5000,"6,4,9",0.12011000000000001,0.14021999999999998,0.16033,0.18044,0.20055
720,5000,"6,4,9",0.12014,0.14028000000000002,0.16043000000000002,0.18057,0.20071
1080,5000,"6,4,9",0.12004999999999999,0.1401,0.16015,0.1802,0.20024999999999998
1440,5000,"6,4,9",0.12010000000000001,0.1402,0.16031,0.18042,0.20051999999999998
2160,5000,"4,1,7",0.12051,0.14103000000000002,0.16155,0.18207,0.20257999999999998
2880,5000,"7,2,8",0.11876,0.13752,0.15627,0.17503,0.19379
4320,5000,"10,5,9",0.12326999999999999,0.14654,0.16982,0.19309,0.21637
5760,5000,"10,5,8",0.11853,0.13706000000000002,0.15559,0.17412,0.19265000000000002
7200,5000,"8,10,2",0.11835,0.13671,0.15506,0.17342,0.19177
360,10000,"10,5,6",0.12061,0.14123000000000002,0.16185,0.18246,0.20308
540,10000,"7,5,3",0.12025999999999999,0.14051,0.16076,0.18102000000000001,0.20127
720,10000,"7,5,3",0.12027000000000002,0.14055,0.16083,0.18109999999999998,0.20137999999999998
1080,10000,"7,5,3",0.12045999999999998,0.14092,0.16138,0.18185,0.20231
1440,10000,"7,5,3",0.12025,0.14049,0.16074,0.18099,0.20124
2160,10000,"4,1,8",0.11938,0.13876,0.15813,0.17751,0.19689
2880,10000,"7,8,9",0.12442,0.14883,0.17324,0.19765,0.22207
4320,10000,"10,5,9",0.12117,0.14234,0.16351,0.18469,0.20586000000000002
5760,10000,"10,5,2",0.12090000000000001,0.14179999999999998,0.1627,0.1836,0.2045
7200,10000,"8,10,2",0.12100999999999999,0.14201,0.16302,0.18402000000000002,0.20503
360,20000,"10,5,6",0.12061,0.14123000000000002,0.16185,0.18246,0.20308
540,20000,"7,5,1",0.11944999999999999,0.13891,0.15836,0.17781,0.19727
720,20000,"7,5,1",0.11948,0.13896,0.15845,0.17793,0.19741
1080,20000,"7,5,1",0.11952,0.13906000000000002,0.15859,0.17813,0.19766
1440,20000,"7,5,1",0.11943999999999999,0.13889,0.15833999999999998,0.17779,0.19724
2160,20000,"3,8,9",0.12008,0.14015,0.16023,0.18031,0.20038
2880,20000,"7,10,8",0.11544000000000001,0.13089,0.14633000000000002,0.16177999999999998,0.17723
4320,20000,"9,10,5",0.12061,0.14123000000000002,0.16185,0.18247,0.20309
5760,20000,"10,5,9",0.11854,0.13709,0.15563,0.17418,0.19272
7200,20000,"10,8,2",0.12552000000000002,0.15103,0.17654,0.20205,0.22757
360,40000,"10,5,6",0.12061,0.14123000000000002,0.16185,0.18246,0.20308
540,40000,"6,3,2",0.11829,0.13659,0.15489,0.17319,0.19149
720,40000,"6,3,2",0.11847,0.13694,0.15542,0.17389,0.19236
1080,40000,"6,3,2",0.11856,0.13712,0.15567,0.17423,0.19279
1440,40000,"6,3,2",0.11823999999999998,0.13648,0.15472999999999998,0.17297,0.19121
2160,40000,"8,4,5",0.11779999999999999,0.1356,0.1534,0.1712,0.189
2880,40000,"8,6,10",0.11373,0.12746,0.14118999999999998,0.15491,0.16863999999999998
4320,40000,"10,5,9",0.11727000000000001,0.13454,0.15181,0.16908,0.18634
5760,40000,"10,7,4",0.12078,0.14155,0.16233,0.18311,0.20388
7200,40000,"10,8,4",0.12296,0.14592,0.16888,0.19183,0.21478999999999998
