Duration,Aw,Cfa,Cfb,Csb,Cwa,Af,Am,Csa,BSk,BWk,BSh,BWh
1,-0.56,-0.5,-0.37,-0.5,-1.37,-1.37,-1.37,-0.72,-0.27,-0.27,-0.32,-0.32
3,-2,-1.1,-0.25,0.04,-1.29,-1.29,-1.29,-0.31,0,0,-0.76,-0.76
6,-1.37,-1,-0.08,0.45,-1.29,-1.29,-1.29,0.12,0.1,0.1,-1.34,-0.7
9,-0.44,-0.78,-0.24,0.23,-1.05,-1.05,-1.05,-0.16,0.12,0.12,-0.66,-0.55
12,-0.12,-0.58,-0.29,0.17,-0.45,-0.45,-0.45,0,0.23,0.23,-0.22,-0.5
18,0.03,-0.27,-0.9,0.1,1.07,1.07,1.07,0.74,0.55,0.55,0.25,-0.5
24,0.03,-0.42,0.26,0.1,1.07,1.07,1.07,0.74,0.55,0.55,0.25,-0.5
36,0.03,-1.09,0.26,0.1,1.07,1.07,1.07,0.74,0.55,0.55,0.25,-0.5
48,0.03,-1.09,0.26,0.1,1.07,1.07,1.07,0.74,0.55,0.55,0.25,-0.5
72,0.03,-1.09,0.26,0.1,1.07,1.07,1.07,0.74,0.55,0.55,0.25,-0.5
