index,m,n,rain_z,rain_aep,mean_rain_mm,tp,storm_method,tp_frequency,il_p,il_scaling,initial_loss,cl_p,cl_scaling,continuing_loss,preburst_p,preburst_proportion,preburst_mm,residual_depth,embedded_bursts,lake_z,ADV,inflow
0,0,0,0.01222909618928695,2.02,251.7,6,ARR areal,intermediate,0.2546,2.413,72.4,0.3406,0.809,1.62,0.6309,0.1056,26.6,0.0,No embedded bursts,-0.14189,130743.0,225.3
1,0,1,0.03668728856786085,2.06,255.1,9,ARR areal,intermediate,0.5131,1.625,48.8,0.8713,1.446,2.89,0.4609,0.1067,27.2,0.0,No embedded bursts,-2.43362,61991.0,312.5
2,0,2,0.06114548094643475,2.103,258.6,2,ARR areal,intermediate,0.8558,0.58,17.4,0.6373,1.165,2.33,0.4056,0.1092,28.2,10.8,No embedded bursts,0.24381,142314.0,313.2
3,0,3,0.08560367332500864,2.146,262.1,3,ARR areal,intermediate,0.6346,1.254,37.6,0.8823,1.459,2.92,0.1,0.1494,39.2,1.6,No embedded bursts,-1.15969,100209.0,247.2
4,0,4,0.11006186570358255,2.192,265.6,8,ARR areal,intermediate,0.595,1.375,41.2,0.9264,1.512,3.02,0.4272,0.1402,37.2,0.0,No embedded bursts,0.35648,145694.0,271.3
5,0,5,0.13452005808215647,2.24,269.2,0,ARR areal,intermediate,0.2243,2.506,75.2,0.2084,0.65,1.3,0.4568,0.0047,1.3,0.0,No embedded bursts,-0.15667,130300.0,240.5
6,0,6,0.15897825046073036,2.289,272.8,5,ARR areal,intermediate,0.0304,3.097,92.9,0.9344,1.521,3.04,0.1414,0.0483,13.2,0.0,No embedded bursts,-0.38029,123591.0,336.0
7,0,7,0.18343644283930424,2.341,276.5,7,ARR areal,intermediate,0.5422,1.536,46.1,0.9576,1.549,3.1,0.8803,0.0644,17.8,0.0,No embedded bursts,0.94425,163328.0,197.9
8,0,8,0.20789463521787813,2.394,280.3,1,ARR areal,intermediate,0.9133,0.404,12.1,0.3706,0.845,1.69,0.3824,0.0757,21.2,9.1,No embedded bursts,-0.34901,124530.0,360.1
9,0,9,0.23235282759645204,2.45,284.1,4,ARR areal,intermediate,0.3836,2.02,60.6,0.1272,0.553,1.11,0.8344,0.037,10.5,0.0,No embedded bursts,-0.66303,115109.0,324.0
10,1,0,0.256811019975026,2.508,287.9,2,ARR areal,intermediate,0.6817,1.111,33.3,0.9719,1.566,3.13,0.101,0.1217,35.0,1.7,No embedded bursts,0.76399,157920.0,308.7
11,1,1,0.2812692123535998,2.569,291.8,2,ARR areal,intermediate,0.9806,0.199,6.0,0.5627,1.075,2.15,0.4495,0.1456,42.5,36.5,No embedded bursts,-0.91898,107431.0,333.7
12,1,2,0.30572740473217375,2.632,295.8,0,ARR areal,intermediate,0.8113,0.716,21.5,0.8295,1.395,2.79,0.6275,0.0678,20.1,0.0,No embedded bursts,-1.1319,101043.0,331.9
13,1,3,0.3301855971107477,2.698,299.8,4,ARR areal,intermediate,0.0853,2.93,87.9,0.3189,0.783,1.57,0.4131,0.0174,5.2,0.0,No embedded bursts,-1.26536,97039.0,322.5
14,1,4,0.3546437894893215,2.767,303.8,0,ARR areal,intermediate,0.0909,2.913,87.4,0.3226,0.787,1.57,0.3368,0.0902,27.4,0.0,No embedded bursts,0.02972,135892.0,274.8
15,1,5,0.37910198186789545,2.838,308.0,8,ARR areal,intermediate,0.4163,1.92,57.6,0.0783,0.494,0.99,0.8052,0.1373,42.3,0.0,No embedded bursts,0.34444,145333.0,389.3
16,1,6,0.4035601742464693,2.913,312.1,8,ARR areal,intermediate,0.3782,2.036,61.1,0.8553,1.426,2.85,0.2525,0.1134,35.4,0.0,No embedded bursts,1.19538,170861.0,308.2
17,1,7,0.4280183666250432,2.991,316.4,9,ARR areal,intermediate,0.3033,2.265,68.0,0.5087,1.01,2.02,0.5671,0.0314,9.9,0.0,No embedded bursts,-1.79121,81264.0,326.2
18,1,8,0.45247655900361716,3.073,320.6,0,ARR areal,intermediate,0.7751,0.826,24.8,0.7318,1.278,2.56,0.4529,0.1198,38.4,13.6,No embedded bursts,0.27021,143106.0,278.8
19,1,9,0.47693475138219105,3.158,325.0,2,ARR areal,intermediate,0.4635,1.776,53.3,0.7311,1.277,2.55,0.6267,0.0633,20.6,0.0,No embedded bursts,-0.10273,131918.0,329.3
20,2,0,0.5013929437607649,3.246,329.4,1,ARR areal,intermediate,0.7835,0.8,24.0,0.15,0.58,1.16,0.4731,0.0023,0.8,0.0,No embedded bursts,-2.10479,71856.0,351.0
21,2,1,0.5258511361393389,3.339,333.8,1,ARR areal,intermediate,0.6464,1.218,36.5,0.8978,1.477,2.95,0.1827,0.0181,6.0,0.0,No embedded bursts,1.16718,170015.0,366.9
22,2,2,0.5503093285179128,3.436,338.4,0,ARR areal,intermediate,0.102,2.879,86.4,0.2689,0.723,1.45,0.4371,0.0494,16.7,0.0,No embedded bursts,1.06576,166973.0,356.7
23,2,3,0.5747675208964866,3.537,342.9,2,ARR areal,intermediate,0.2813,2.332,70.0,0.1023,0.523,1.05,0.8815,0.0943,32.3,0.0,No embedded bursts,0.75192,157558.0,285.0
24,2,4,0.5992257132750606,3.643,347.6,0,ARR areal,intermediate,0.5669,1.461,43.8,0.0367,0.444,0.89,0.4741,0.1112,38.7,0.0,No embedded bursts,0.19589,140877.0,393.7
25,2,5,0.6236839056536344,3.754,352.3,5,ARR areal,intermediate,0.5031,1.656,49.7,0.3668,0.84,1.68,0.181,0.0817,28.8,0.0,No embedded bursts,-0.55351,118395.0,408.0
26,2,6,0.6481420980322083,3.869,357.1,6,ARR areal,intermediate,0.8574,0.575,17.2,0.3441,0.813,1.63,0.1245,0.1206,43.1,25.9,No embedded bursts,-0.36244,124127.0,368.8
27,2,7,0.6726002904107823,3.99,361.9,3,ARR areal,intermediate,0.3261,2.195,65.8,0.461,0.953,1.91,0.6144,0.0605,21.9,0.0,No embedded bursts,-0.40392,122882.0,408.3
28,2,8,0.6970584827893562,4.117,366.8,1,ARR areal,intermediate,0.6727,1.138,34.1,0.0182,0.422,0.84,0.4141,0.0564,20.7,0.0,No embedded bursts,-0.3215,125355.0,624.2
29,2,9,0.7215166751679302,4.25,371.8,5,ARR areal,intermediate,0.1826,2.633,79.0,0.6455,1.175,2.35,0.7139,0.0915,34.0,0.0,No embedded bursts,-0.45909,121227.0,414.3
30,3,0,0.7459748675465039,4.389,376.8,7,ARR areal,intermediate,0.8775,0.514,15.4,0.2192,0.663,1.33,0.3046,0.1358,51.2,35.8,No embedded bursts,-1.19479,99156.0,464.7
31,3,1,0.7704330599250778,4.535,381.9,7,ARR areal,intermediate,0.8987,0.449,13.5,0.5154,1.018,2.04,0.3995,0.1199,45.8,32.3,No embedded bursts,-0.91985,107404.0,547.2
32,3,2,0.7948912523036518,4.687,387.1,6,ARR areal,intermediate,0.6873,1.094,32.8,0.0004,0.4,0.8,0.4517,0.0576,22.3,0.0,No embedded bursts,-1.31933,95420.0,406.1
33,3,3,0.8193494446822257,4.847,392.3,2,ARR areal,intermediate,0.0545,3.024,90.7,0.0286,0.434,0.87,0.4011,0.0703,27.6,0.0,No embedded bursts,-1.17748,99676.0,329.8
34,3,4,0.8438076370607996,5.015,397.6,2,ARR areal,intermediate,0.4543,1.804,54.1,0.2265,0.672,1.34,0.3722,0.0042,1.7,0.0,No embedded bursts,1.32393,174718.0,600.6
35,3,5,0.8682658294393734,5.191,403.0,5,ARR areal,intermediate,0.9569,0.271,8.1,0.4543,0.945,1.89,0.3645,0.1152,46.4,38.3,No embedded bursts,-1.25341,97398.0,414.1
36,3,6,0.8927240218179473,5.376,408.5,2,ARR areal,intermediate,0.4961,1.677,50.3,0.9447,1.534,3.07,0.3048,0.1188,48.5,0.0,No embedded bursts,-0.26961,126912.0,494.2
37,3,7,0.9171822141965212,5.57,414.0,5,ARR areal,intermediate,0.359,2.095,62.9,0.3515,0.822,1.64,0.7322,0.1271,52.6,0.0,No embedded bursts,-0.78062,111581.0,516.8
38,3,8,0.9416404065750952,5.774,419.6,0,ARR areal,intermediate,0.718,1.0,30.0,0.3917,0.87,1.74,0.7158,0.1237,51.9,21.9,No embedded bursts,-0.55592,118322.0,492.2
