name,1.582_AEP,2_AEP,5_AEP,10_AEP,20_AEP,50_AEP,100_AEP,200_AEP,500_AEP,1000_AEP,2000_AEP
JC01,46.6,55.7,86.6,109.2,132.1,163.8,189.0,215.5,252.6,282.4,313.8
JC02,46.3,55.3,86.1,108.4,131.2,162.7,187.8,214.1,250.9,280.5,311.6
JC03,43.6,52.0,80.9,102.0,123.4,153.0,176.6,201.3,236.0,263.8,293.1
JC04,49.8,59.5,92.6,116.6,141.2,175.0,202.0,230.2,269.9,301.7,335.2
JC05,50.2,59.9,93.3,117.5,142.3,176.3,203.5,232.0,272.0,304.0,337.8
JC06,42.9,51.2,79.7,100.4,121.5,150.6,173.8,198.2,232.3,259.7,288.5
JC07,44.8,53.5,83.3,104.9,127.0,157.4,181.6,207.1,242.7,271.4,301.5
JC08,42.5,50.8,79.0,99.6,120.5,149.4,172.4,196.6,230.4,257.6,286.2
JC09,47.6,56.8,88.5,111.5,134.9,167.2,193.0,220.0,257.9,288.3,320.3
JC10,50.7,60.5,94.2,118.7,143.7,178.1,205.6,234.4,274.7,307.1,341.2
